,ISBN,Title,Author,Publishing Date,Category,Description
195,0312426232,,,,,
196,0140115854,Moon Palace,Paul Auster,1989,Fiction,"The “beautiful and haunting” (San Francisco Chronicle) tale of an orphan’s search for love, for his unknown father, and for the key to the elusive riddle of his fate, from the author of the forthcoming 4 3 2 1: A Novel Marco Stanley Fogg is an orphan, a child of the sixties, a quester tirelessly seeking the key to his past, the answers to the ultimate riddle of his fate. As Marco journeys from the canyons of Manhattan to the deserts of Utah, he encounters a gallery of characters and a series of events as rich and surprising as any in modern fiction. Beginning during the summer that men first walked on the moon, and moving backward and forward in time to span three generations, Moon Palace is propelled by coincidence and memory, and illuminated by marvelous flights of lyricism and wit. Here is the most entertaining and moving novel yet from an author well known for his breathtaking imagination. From New York Times-bestselling author Paul Auster (The New York Trilogy)."
197,0140154078,The Music of Chance,Paul Auster,1991-12-01,Fiction,"An “exceptional” (Los Angeles Times) tale of fate, loyalty, responsibility, and the real meaning of freedom, from the author of the forthcoming 4 3 2 1: A Novel A finalist for the PEN/Faulkner Award This “rich and dazzling” (Wall Street Journal) novel follows Jim Nashe who, after squandering an unexpected inheritance, picks up a young gambler named Jack Pozzi hoping to con two millionaires. But when their plans backfire, Jim and Jack are indentured by their elusive marks and are forced to build a meaningless wall with bricks gathered from ruins of an Irish castle. Time passes, their debts mount, and anger builds as the two struggle to dig themselves out of their Kafkaesque serfdom. New York Times-bestselling author Paul Auster (The New York Trilogy) brings us back into his strange, shape-shifting world of fiendish bargains and punitive whims, where chance is a powerful yet unpredictable force."
198,0805081453,,,,,
199,0140178139,Leviathan,Paul Auster,1993-09-01,Fiction,"A “compelling” (Los Angeles Times) tale of friendship, betrayal, estrangement, and the unpredictable intrusions of violence in the everyday – from the author of the forthcoming 4 3 2 1: A Novel ""Six days ago, a man blew himself up by the side of a road in northern Wisconsin. . . ."" So begins the story by Peter Aaron about his best friend, Benjamin Sachs. Sachs had a marriage Aaron envied, an intelligence he admired, a world he shared. And then suddenly, after a near-fatal fall that might or might not have been intentional, Sachs disappeared. Now Aaron must piece together the life that led to Sach's death. His sole aim is to tell the truth and preserve it, before those who are investigating the case invent an account of their own."
200,0811214982,The Red Notebook,Paul Auster,2002,Fiction,Contains: The red notebook -- Why write? -- Accident report -- It don't mean a thing.
201,2742741461,Paul Auster Coffret en 3 volumes : Moon Palace ; Léviathan ; Tombouctou,Paul Auster,2002-10-30,,
202,0143036556,Collapse,Jared M. Diamond,2006,History,"This title has been removed from sale by Penguin Group, USA."
203,0446579785,The Coming Economic Collapse,Stephen Leeb,2006,Business & Economics,"In this incredibly timely book,renowned economist Stephen Leeb shows how surging oilprices will contribute to a huge economic collapse bysoaring to over $100, and perhaps $200, a barrel- andtells how you can avoid the pitfalls of the upcomingcrisis."
204,052138673X,The Collapse of Complex Societies,Joseph Tainter,1988,Social Science,"Twenty-four examples of societal collapse help develop a new theory to account for their breakdown. Detailed studies of the Roman, Mayan and Cacoan collapses clarify the processes of disintegration."
205,0743203046,,,,,
206,034543871X,The Collapse of the Common Good,Philip K. Howard,2002-01-29,Law,"In pursuit of fairness at any cost, we have created a society paralyzed by legal fear: Doctors are paranoid and principals powerless. Little league coaches, scared of liability, stop volunteering. Schools and hospitals start to crumble. The common good fades, replaced by a cacophony of people claiming their “individual rights.” By turns funny and infuriating, this startling book dissects the dogmas of fairness that allow self-interested individuals to bully the rest of society. Philip K. Howard explains how, trying to honor individual rights, we removed the authority needed to maintain a free society. Teachers don’t even have authority to maintain order in the classroom. With no one in charge, the safe course is to avoid any possible risk. Seesaws and diving boards are removed. Ridiculous warning labels litter the American landscape: “Caution: Contents Are Hot.” Striving to protect “individual rights,” we ended up losing much of our freedom. When almost any decision that someone disagrees with is a possible lawsuit, no one knows where he stands. A huge monument to the unknown plaintiff looms high above America, casting a dark shadow across our daily choices. Today, in the land of free speech, you’d have to be a fool to say what you really think. This provocative book not only attacks the sacred cows of political correctness, but takes a breathtakingly bold stand on how to reinvigorate our common good. Only by restoring personal authority can schools begin to work again. Only by judges and legislatures taking back the authority to decide who can sue for what can doctors feel comfortable using their best judgment and American be liberated to say and do what they know is right. Lucid, honest, and hard hitting, The Collapse of the Common Good shows how Americans can bring back freedom and common sense to a society disabled by lawyers and legal fear."
207,0393318281,Reinventing the Enemy's Language,Joy Harjo,1998,Fiction,"Features poetry, fiction, and other writings by Native American women"
208,1599869942,My Inventions,Nikola Tesla,2006,Biography & Autobiography,"This important title is the autobiography of Nikola Tesla. Nikola Tesla appropriately titled his work on his life, My Inventions, as he was one of the most important inventors and scientists in history. The book touches on his life and career, his first inventions, discovering the magnetic field, tesla coil and transformer and the manifying transmitter. There is also a chapter on the art of teleautomatics. This book should be read by anybody interested in the life of this important inventor and scientist and his important discoveries which have revolutionized the world."
209,0806519606,Wizard,Marc J. Seifer,1998,Electric engineers,"A biography of the Croatian immigrant who ""has been called the patron saint of electricity."""
210,0822549204,Nikola Tesla,Carol Dommermuth-Costa,1994-01-01,Technology & Engineering,Recounts the life and accomplishments of the Croatian-born engineer who developed alternating-current technology and invented the radio
211,0932813860,The Tesla Papers,Nikola Tesla,2000,Science,"""Nikola Tesla on free energy & wireless transmission of power""--Cover."
212,0373792689,Boys of Summer,Julie Elizabeth Leto,2006,Baseball players,"Baseball. The crack of the bat, the roar of the crowd...and the view of mouthwatering men in tight uniforms A sport in which the men are men...and the women like them that way. Join three of Harlequin Blaze's bestselling authors in celebrating the men who indulge in this All-American pastime -- and the women who help them indulge in other things... Fever Pitch by Julie Elizabeth Leto In Fever Pitch, Julie Elizabeth Leto introduces Callie Andrews, a woman who's dying to have one last chance at bat...with her ex-husband The Sweet Spot by Kimberly Raye In Kimberly Raye's The Sweet Spot, Babe Bannister discovers that striking out with a sexy shortstop isn't so bad -- especially when it leads to hitting a home run with a delicious coach.... Sliding Home by Leslie Kelly In Leslie Kelly's Sliding Home, we meet plain Janie Nolan. She's been sitting on the bench so long, she doesn't even realize she's still in the game. That is, until a sexy pitcher tempts her to come up to the plate and take a swing..."
213,0974514055,Programming Ruby,David Thomas,2004,Computers,"A tutorial and reference to the object-oriented programming language for beginning to experienced programmers, updated for version 1.8, describes the language's structure, syntax, and operation, and explains how to build applications. Original. (Intermediate)"
214,0764585975,CliffsNotes on Golding's Lord of the Flies,Maureen Kelly,2000-06-13,Literary Criticism,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. The latest generation of titles in this series also feature glossaries and visual elements that complement the classic, familiar format. CliffsNotes on Lord of the Flies takes you on an exploration of William Golding's novel to the dark side of humanity, the savagery that underlies even the most civilized human beings. Follow Golding's group of young boys from hope to disaster and watch as they attempt to survive their uncivilized, unsupervised, and isolated environment. You can rely on CliffsNotes on Lord of the Flies for character analyses, insightful essays, and chapter-by-chapter commentaries to ensure your safe passage through the rich symbolism of this novel. Other features that help you study include A brief synopsis of the novel A character map to help you see relationships among the characters A glossary that helps you get the most out of your reading An interactive quiz to test your knowledge Essay topics and review questions Classic literature or modern modern-day treasure -- you'll understand it all with expert information and insight from CliffsNotes study guides."
215,0307281701,,,,,
216,0812969707,,,,,
217,0060255080,We Were Not Like Other People,Ėfraim Sevela,1989-01-01,Jews,"Separated from his family when the Germans invade Russia during World War II, a young boy learns to fend for himself and earn a living whenever and however he can."
218,0330485385,,,,,
219,159413023X,The Lovely Bones,Alice Sebold,2004,Fiction,"The spirit of fourteen-year-old Susie Salmon describes her murder, her surprise at her new home in heaven, and her witness to her family's grief, efforts to find the killer, and attempts to come to terms with what has happened."
220,0345360354,Lovely in Her Bones,Sharyn McCrumb,1990-05-13,Fiction,Student archaeologist and amateur detective Elizabeth MacPherson and her new beau Milo stumble into a baffling case of murder at an ancient Indian burial site in the Appalachians.
221,0321303474,The Zen of CSS Design,Dave Shea,2005,Computers,Provides information on creating imaginative Web site designs using CSS.
222,0321430840,"HTML, XHTML & CSS",Elizabeth Castro,2007,Computers,"Demonstrates the basics of HTML while explaining how to design Web sites, format text, add multimedia effects, and create forms, tables, lists, and style sheets."
223,3822840858,1000 Record Covers,Michael Ochs,2005,Antiques & Collectibles,Zum 25jährigen Bestehen von TASCHEN gibt es ein Reihe ausgewählter Klassiker zum Jubiläumspreis.
224,0743264460,Killing Yourself to Live,Chuck Klosterman,2006-06-13,Biography & Autobiography,"The author recounts his more than 6,500-mile journey across America, during which he visited the sites of famous rock star deaths and experienced philosophical changes of perspective."
225,0743236017,,,,,
226,0553572490,Vice,Jane Feather,1996-05-02,Fiction,"From the incomparable Jane Feather, author of national bestsellers Vanity, Violet, and Valentine, comes this enthralling new romance of daring deception and forbidden passion... Juliana drew the line at becoming a harlot. She had already begun the week as a bride...and ended it as a murderess. She was sure no one would believe that she'd hit her elderly groom with a bed warmer and knocked him dead quite by accident. So she did the only thing she could--she ran. Yet now she was in no position to turn down a shocking proposition from the dangerously handsome Duke of Redmayne: that she become one man's wife and another man's mistress--his mistress. Could she play such a role? Could she live up to such a bargain? And once she had tasted the pleasures of Redmayne's bed, would she ever want anything else?"
227,0060589469,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,2006-04-25,Psychology,"One of the most important and influential books written in the past half-century, Robert M. Pirsig's Zen and the Art of Motorcycle Maintenance is a powerful, moving, and penetrating examination of how we live . . . and a breathtaking meditation on how to live better. Here is the book that transformed a generation: an unforgettable narration of a summer motorcycle trip across America's Northwest, undertaken by a father and his young son. A story of love and fear -- of growth, discovery, and acceptance -- that becomes a profound personal and philosophical odyssey into life's fundamental questions, this uniquely exhilarating modern classic is both touching and transcendent, resonant with the myriad confusions of existence . . . and the small, essential triumphs that propel us forward."
228,0802789471,Once Upon a Cool Motorcycle Dude,Kevin O'Malley,2005-04-01,Juvenile Fiction,"Once upon a time there was ... a princess who loved all her beautiful ponies, a cool muscle dude who rode an awesome motorcycle. But a giant came and started stealing them! The dude came to fight the ugly, smelly giant with his mighty sword. She turned gold into thread while she cried for Buttercup, her favorite pony. And he took the princess's gold thread for payment The end! Wait a minute! That's not how it ends! Oh no? Once upon a time there was a boy and a girl who had to tell a fairy tale to the class, but they couldn't agree on the story. Will everyone live happily ever after?"
229,0688060692,,,,,
230,185960515X,Motorcycle Basics Techbook,John Haynes,2002-07-05,Transportation,"All common engine, chassis and electrical systems fully explained and illustrated. Topics covered include engine cycles and layouts, carburettors and fuel injection, ignition systems, clutches, gearbox, engine lubrication and cooling, wheels, tires, braking systems, suspension, steering, handling, design and electrical systems."
231,1592530877,LogoLounge,Bill Gardner,2004-09-01,Design,"Logos -- for everything from food and fashion to conferences and corporations -- are among designerséÆ most prized projects. When LogoLounge debuted in hardcover, it was the first in a series celebrating the work of top logo designers on the innovative Logo Lounge website. Created by Bill Gardner, president of the leading design firm Gardner Design, the LogoLounge website (www.logolounge.com) features the work of handpicked top designers as well as up-and-coming new talent. This book, now in paperback, presents the siteéÆs best designs of the year as judged by an elite group of name-brand designers. LogoLounge offers a wealth of inspiration and insights for graphic designers and their clients. From the work of superstar artists and firms such as Michael Vanderbyl and Sibley Peteet Design -- including both new campaigns and new projects -- to nearly 2,000 additional logos from various sources, this visually compelling volume will become the go-to resource for inspiration from the best in the field."
232,0451528808,,,,,
233,0192833987,War and Peace,Leo Tolstoy,1998,Historical fiction,"Often called the greatest novel ever written, War and Peace is at once an epic of the Napoleonic Wars, a philosophical study, and a celebration of the Russian spirit. Tolstoy's genius is seen clearly in the multitude of characters in this massive chronicle--all of them fully realized and equally memorable. Out of this complex narrative emerges a profound examination of the individual's place in the historical process, one that makes it clear why Thomas Mann praised Tolstoy for his Homeric powers and placed War and Peace in the same category as the Iliad"" "" ""To read him . . . is to find one's way home . . . to everything within us that is fundamental and sane."""
234,0486451380,The Kingdom of God Is Within You,Leo Tolstoy,2006-09-08,Religion,"Banned in Russia, Tolstoy's The Kingdom of God Is Within You was deemed a threat to church and state. The culmination of a lifetime's thought, it espouses a commitment to Jesus's message of turning the other cheek. In a bold and original manner, Tolstoy shows his readers clearly why they must reject violence of any sort—even that sanctioned by the state or the church—and urges them to look within themselves to find the answers to questions of morality. In 1894, one of the first English translations of this book found its way into the hands of a young Gandhi. Inspired by its message of nonresistance to evil, the Mahatma declared it a source of ""independent thinking, profound morality, and truthfulness."" Much of this work's emotional and moral appeal lies in its emphasis on fair treatment of the poor and working class. Its view of Christianity, not as a mystic religion but as a workable philosophy originating from the words of a remarkable teacher, extends its appeal to secular and religious readers alike."
235,0452011876,,,,,
236,0451163087,For the New Intellectual,Ayn Rand,1963,Philosophy,"Ideas of the contemporary novelist on capitalism, individual liberty, and free enterprise, illustrated by extracts from her four novels."
237,0452286751,The Fountainhead (Centennial Edition HC),Ayn Rand,2005-04-26,Fiction,"The story of a gifted architect, his struggle against conventional standards, and his violent love affair."
238,0451163931,The Virtue of Selfishness,Ayn Rand,1964-11,Philosophy,"A collection of essays that sets forth the moral principles of Objectivism, Ayn Rand's controversial, groundbreaking philosophy. Since their initial publication, Rand's fictional works--Anthem, The Fountainhead, and Atlas Shrugged--have had a major impact on the intellectual scene. The underlying theme of her famous novels is her philosophy, a new morality--the ethics of rational self-interest--that offers a robust challenge to altruist-collectivist thought. Known as Objectivism, her divisive philosophy holds human life--the life proper to a rational being--as the standard of moral values and regards altruism as incompatible with man's nature. In this series of essays, Rand asks why man needs morality in the first place, and arrives at an answer that redefines a new code of ethics based on the virtue of selfishness. More Than 1 Million Copies Sold"
239,0452281253,Anthem,Ayn Rand,1999,Fiction,"The year 2005 marks Ayn Rand's Centennial Year. Ayn Rand's classic tale of a future dark age of the greatWe'a world that deprives individuals of name, independence, and values'anticipates her later masterpieces, The Fountainhead and Atlas Shrugged."
240,0451187849,,,,,
241,0451147952,Capitalism,Ayn Rand,1986-07-15,Philosophy,"In this series of essays, Ayn Rand presents her stand on the persecution of big business, the causes of war, the default of conservatism, and the evils of altruism. The foundations of capitalism are being battered by a flood of altruism, which is the cause of the modern world's collapse. This is the view of Ayn Rand, a view so radically opposed to prevailing attitudes that it constitutes a major philosophic revolution. Here is a challenging new look at modern society by one of the most provocative intellectuals on the American scene. This edition includes two articles by Ayn Rand that did not appear in the hardcover edition: “The Wreckage of the Consensus,” which presents the Objectivists’ views on Vietnam and the draft; and “Requiem for Man,” an answer to the Papal encyclical Progresso Populorum."
242,0452274044,Letters of Ayn Rand,Ayn Rand,1997,Biography & Autobiography,"The publication of the letters of Ayn Rand is a cause for celebration, not only among the countless millions of Ayn Rand admirers the world over, but also among all those interested in the key political, philosophical, and artistic issues of our century. For there is no separation between Ayn Rand the vibrant, creative woman and Ayn Rand the intellectual dynamo, the rational thinker, who was also a passionately committed champion of individual freedom. These remarkable letters begin in 1926, with a note from the twenty-year-old Ayn Rand, newly arrived in Chicago from Soviet Russia, an impoverished unknown determined to realize the promise of the land of opportunity. They move through her struggles and successes as a screenwriter, a playwright, and a novelist, her sensational triumph as the author of The Fountainhead and Atlas Shrugged, and her eminence as founder and shaper of Objectivism, one of the most challenging philosophies of our time. They are written to such famed contemporaries as Cecil B. DeMille, Frank Lloyd Wright, H.L. Mencken, Alexander Kerensky, Barry Goldwater and Mickey Spillane There are letters to philosophers, priests, publishers, and political columnists; to her beloved husband, Frank O' Connor; and to her intimate circle of friends and her growing legion of followers. Her letters range in tone from warm affection to icy fury, and in content from telling commentaries on the events of the day to unforgettably eloquent statements of her philosophical ideas. They are presented chronologically, with explanatory notes by Michael S. Berliner, who identifies the recipients of the letters and provides relevant background and context. Here is a chronicle that captures the inspiring drama of a towering literary genius and seminal thinker, and--often day-by-day--her amazing life."
243,0471791431,,,,,
244,0553803816,Sailing from Byzantium,Colin Wells,2006,"Civilization, Islamic",Publisher Description
245,0375755195,Sailing Alone Around the Room,Billy Collins,2001,Poetry,"Sailing Alone Around the Room, by America’s Poet Laureate, Billy Collins, contains both new poems and a generous gathering from his earlier collections The Apple That Astonished Paris, Questions About Angels, The Art of Drowning, and Picnic, Lightning. These poems show Collins at his best, performing the kinds of distinctive poetic maneuvers that have delighted and fascinated so many readers. They may begin in curiosity and end in grief; they may start with irony and end with lyric transformation; they may, and often do, begin with the everyday and end in the infinite. Possessed of a unique voice that is at once plain and melodic, Billy Collins has managed to enrich American poetry while greatly widening the circle of its audience."
246,1592283195,The Greatest Sailing Stories Ever Told,Christopher Caswell,2004,Sailing,Military historian Samuel Eliot Morison.
247,0975599518,"Natural Cures ""they"" Don't Want You to Know about",Kevin Trudeau,2004,Alternative medicine,This book presents the author's thesis that processed foods and drugs approved by the FDA can be harmful to consumers' health. It offers advice on the use of alternative therapies and natural cures to treat and prevent illnesses and disabilities.
248,0374502005,The Natural,Bernard Malamud,1952,Fiction,Malamud uses the fanatical and aggressive world of professional baseball to mirror contemporary society.
249,0307263940,Digging to America,Anne Tyler,2006,American fiction,"This luminous novel brims with tender observations about what it is to be an American, and about Iranian-born Maryam Yazdam, who after 35 years in this country must finally come to terms with her ""outsiderness."""
250,0312405545,Rereading America,Gary Colombo,2004-01-01,Language Arts & Disciplines,
251,019517013X,Modern Latin America,Thomas E. Skidmore,2005,History,"Thoroughly updated and revised, the sixth edition of this widely used text includes a new chapter on Colombia and increased coverage of women and gender. The book also examines such topics as: the impact of 9/11 on U.S. - Latin American relations; drug trafficking; women's roles in Latin American society and politics; and the fragility and uncertainty of democracy in Latin America."
252,1400079497,,,,,
253,0688171621,,,,,
254,0060932686,Collected Stories,Gabriel Garcia Marquez,1985,,
255,1400034957,Crónica de una muerte anunciada / Chronicle of a Death Foretold,Gabriel García Márquez,2003-10-14,Fiction,"Un hombre regresa al pueblo donde ocurrió un asesinato desconcertante 27 años atrás, con la determinación de descubrir la verdad. Todos parecen estar de acuerdo en que Bayardo San Román, sólo unas horas después de su matrimonio con la bella Angela Vicario, la devuelve por deshonrada a la casa paterna. La atribulada familia fuerza a la novia a revelar el nombre de su primer amante; y los hermanos gemelos de ella anuncian su intención de matar a Santiago Nasar por haber deshonrado a su hermana. Sin embargo, si todos sabían que se iba a cometer un asesinato, ¿por qué nadie trató de impedirlo? Cuanto más se sabe de este asunto, menos se comprende, y cuando la historia al fin se precipita a su inesperada conclusión, una sociedad entera —no sólo un par de asesinos— está siendo enjuiciada. ENGLISH DESCRIPTION A man returns to the town where a baffling murder took place 27 years earlier, determined to get to the bottom of the story. Just hours after marrying the beautiful Angela Vicario, everyone agrees, Bayardo San Roman returned his bride in disgrace to her parents. Her distraught family forced her to name her first lover; and her twin brothers announced their intention to murder Santiago Nasar for dishonoring their sister. Yet if everyone knew the murder was going to happen, why did no one intervene to stop it? The more that is learned, the less is understood, and as the story races to its inexplicable conclusion, an entire society--not just a pair of murderers—is put on trial."
256,0307350428,Cien años de soledad,Gabriel García Márquez,2006-02,Diversity,Clásica novela de Gabriel García Márquez que narra el auge y caída del mítico pueblo de Macondo a través de la historia de la familia Buendía.
257,0307350444,Del amor y otros demonios,Gabriel García Márquez,2006,Exorcism,"Del amor y otros demonios es una novela escrita por Gabriel García Márquez en el año 1994. La obra se remonta al periodo colonial vivido en Latinoamérica, narrando la historia de una pequeña niña llamada Sierva María que se ve involucrada en un conflicto con la iglesia por una supuesta posesión demoníaca. Sumado a esto, se cuenta además la relación amorosa que tiene la niña, de tan sólo 12 años, con un cura bastante mayor (Cayetano Delaura) el cual se enamora enloquecidamente de la joven, amor que terminaría siendo fatal para ambos."
258,140003454X,,,,,
259,1400095808,Memoria De Mis Putas Tristes / Memories of My Melancholy Whores,Gabriel García Márquez,2004-10-19,Fiction,"""Having decided to celebrate his ninetieth birthday by spending the night with a young virgin, an old man falls deeply in love for the first time in his life when he spots the girl at a local brothel."""
260,0375708111,The Elegant Universe,Brian Greene,2000,Science,Introduces the superstring theory that attempts to unite general relativity and quantum mechanics.
261,086171492X,Pure and Simple,Kī Khaosūanlūang,2005-05-15,"Body, Mind & Spirit","Practicing meditation under difficult conditions, Upsasika Kee eventuallyroke through to complete inner peace. Here is her achievement -- direct,lain-spoken talks on how to deal with sickness, how to allow suffering andtress to always 'disband,' as she calls it, and how to how to keep the mindentered. Upasika Kee was a uniquely powerful teacher. Evocative of the greatjahn Chah, her teachings are earthy, refreshingly direct, and often funny.n the twentieth century, she grew to become one of the most famous teachersn Thailand-male or female-all the more remarkable because, rarer still, sheas a layperson!"
262,184353584X,The Mini Rough Guide to London,Rob Humphreys,2006,London (England),"The Mini Rough Guide to London is the definitive pocket handbook to one of Europe's most dynamic cities. The guide includes a brand-new, 16-page, full-colour section introducing London's highlights with incisive accounts of all the top sights from the London Eye to St Paul's Cathedral. There are expert reviews of all the best hotels and restaurants, plus expanded coverage of the all the top bars, shops, clubs and music venues. The guide also covers day-trips away from the city, including Greenwich, Hampton Court Palace and historic Windsor Castle. This portable guidebook comes complete with clear, readable maps that have grid references for all the top attractions and recommendations."
263,1740594770,Best of London,Sarah Johnstone,2004,London (England),"All the world meets in London, giving its celebrated museums, gracious galleries and historic streets a multicultural edge. Feel its spirit in the pews of St Paul's or capture it at trendy Spitalfields market - with our discerning selections Best of London puts the whole city in your pocket."
264,8408064762,Londres,Sarah Johnstone,2006-05,London (England),Spanish language edition of Lonely Planet's travel guide to London
265,1740592050,,,,,
266,0618710531,Three Nights in August,H. G. Bissinger,2006,Sports & Recreation,"The Pulitzer Prize-winning author of Friday Nights Lights chronicles a three-game series between baseball rivals Cardinals and Cubs, focusing particular attention on the stars of the game, Albert Pujols, Sammy Sosa, Mark Prior, and Scott Rolen. Reprint."
267,0060512806,Cryptonomicon,Neal Stephenson,2002-11-05,Fiction,"With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century. In 1942, Lawrence Pritchard Waterhouse - mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Watrehouse and Detatchment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails grandaughter, Amy, to secretly salvage a sunken Nazi sumarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn. A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, CRYPTONOMICON is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon"
268,2228894168,,,,,
269,0060733357,The Confusion,Neal Stephenson,2005-06-14,Fiction,"In the year 1689, a cabal of Barbary galley slaves -- including one Jack Shaftoe, aka King of the Vagabonds, aka Half-Cocked Jack -- devises a daring plan to win freedom and fortune. A great adventure ensues -- a perilous race for an enormous prize of silver ... nay, gold ... nay, legendary gold. In Europe, the exquisite and resourceful Eliza, Countess de la Zeur, is stripped of her immense personal fortune by France's most dashing privateer. Penniless and at risk from those who desire either her or her head (or both), she is caught up in a web of international intrigue, even as she desperately seeks the return of her most precious possession. Meanwhile, Newton and Leibniz continue to propound their grand theories as their infamous rivalry intensifies, stubborn alchemy does battle with the natural sciences, dastardly plots are set in motion ... and Daniel Waterhouse seeks passage to the Massachusetts colony in hopes of escaping the madness into which his world has descended. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more."
270,0060593083,Quicksilver,Neal Stephenson,2004-09-21,Fiction,"Quicksilver is the story of Daniel Waterhouse, fearless thinker and conflicted Puritan, pursuing knowledge in the company of the greatest minds of Baroque-era Europe, in a chaotic world where reason wars with the bloody ambitions of the mighty, and where catastrophe, natural or otherwise, can alter the political landscape overnight. It is a chronicle of the breathtaking exploits of ""Half-Cocked Jack"" Shaftoe -- London street urchin turned swashbuckling adventurer and legendary King of the Vagabonds -- risking life and limb for fortune and love while slowly maddening from the pox. And it is the tale of Eliza, rescued by Jack from a Turkish harem to become spy, confidante, and pawn of royals in order to reinvent Europe through the newborn power of finance. A gloriously rich, entertaining, and endlessly inventive novel that brings a remarkable age and its momentous events to vivid life, Quicksilver is an extraordinary achievement from one of the most original and important literary talents of our time. And it's just the beginning ..."
271,0553383442,,,,,
272,0380816032,The Big U,Neal Stephenson,2001-02-06,Fiction,"The New York Times Book Review called Neal Stephenson's most recent novel ""electrifying"" and ""hilarious"". but if you want to know Stephenson was doing twenty years before he wrote the epic Cryptonomicon, it's back-to-school time. Back to The Big U, that is, a hilarious send-up of American college life starring after years our of print, The Big U is required reading for anyone interested in the early work of this singular writer."
273,0553380966,,,,,
274,0553383434,Interface,Neal Stephenson,2005,Fiction,"In a near-future political thriller, a network of investors has a vested and sinister interest in the presidential race, and together the shadowy coalition attempts to control the worldwide economy by using a special biochip implant to control the mind of a presidential candidate. Originally written under the pseudonym of Stephen Bury. Reissue. 30,000 first printing."
275,0060833181,,,,,
276,0553380958,Snow Crash,Neal Stephenson,2000-05-02,Fiction,"The “brilliantly realized” (The New York Times Book Review) breakthrough novel from visionary author Neal Stephenson, a modern classic that predicted the metaverse and inspired generations of Silicon Valley innovators Hiro lives in a Los Angeles where franchises line the freeway as far as the eye can see. The only relief from the sea of logos is within the autonomous city-states, where law-abiding citizens don’t dare leave their mansions. Hiro delivers pizza to the mansions for a living, defending his pies from marauders when necessary with a matched set of samurai swords. His home is a shared 20 X 30 U-Stor-It. He spends most of his time goggled in to the Metaverse, where his avatar is legendary. But in the club known as The Black Sun, his fellow hackers are being felled by a weird new drug called Snow Crash that reduces them to nothing more than a jittering cloud of bad digital karma (and IRL, a vegetative state). Investigating the Infocalypse leads Hiro all the way back to the beginning of language itself, with roots in an ancient Sumerian priesthood. He’ll be joined by Y.T., a fearless teenaged skateboard courier. Together, they must race to stop a shadowy virtual villain hell-bent on world domination."
277,1880685353,Harrington on Hold 'em: The endgame,Dan Harrington,2004,Poker,"Provides poker strategies for every phase of tournament play, covering the early phase where the stakes are small to later tactics such as bluffing, flops, scare cards, playing shorthanded, loose games, and endgame play."
278,1880685337,Harrington on Hold 'em,Dan Harrington,2004,Poker,"Provides poker strategies for every phase of tournament play, covering the early phase where the stakes are small to later tactics such as bluffing, flops, scare cards, playing shorthanded, loose games, and endgame play."
279,0465067107,,,,,
280,0465051367,,,,,
281,0465067093,,,,,
282,0898709199,No Price Too High,Alex Jones,2006,Biography & Autobiography,"Alex Jones was an on-fire Penecostal minister in Detroit Who was a completely dedicated shepherd of his flock. He greatly loved his people and they loved him. In seeking to give his flock the most genuine experience of the early Church prayer and worship services, he carefully read Scripture, the Fathers of the Church and writings of the early saints. The more he read, the more Alex came to the startling conclusion that the present day Catholic Church - and the Holy Mass - is the same exact worship service from the very early Church. Alex began to share his findings with his parish, and eventually Alex, and most of his parish, joined the Catholic Church. This is his incredible story of a black Penecostal minister's challenging and dramatic spiritual jounrey, and the flock that followed him. Today he preaches with his usual passion about Christ - as a Catholic deacon! This book tells the story of Alex's life from his chidhood all the way to his conversion to Catholicism in 2001. It simultaneously tells the story of his wife, Donna, and her spiritual journey as well, which shows how they were not always on the same path during Alex's preparation for entering the Catholic Church. Each had to be personally, deeply convinced that this momentous, life-changing and career-changing spiritual decision was God's will for them."
283,0060887966,,,,,
