,bookid,title,authors,average_rating,isbn,isbn13,language_code,publication_date,publisher,title2,author2,genre,multiple_authors,n_authors,authors_list,main_author,max_pages,total_reviews,avg_numpages_author,n_pages_vs_avg_auth,avg_numpages_publisher,n_pages_vs_avg_pub,rating_vs_avg_auth,avg_rating_publisher,rating_vs_avg_pub,rating_vs_mode,pub_month,pub_year,pub_month_text,season,season_num,language_code_ENgroup,ratings_count_category,ratings_count_category_T,text_reviews_count_category,text_reviews_count_category_T,log_total_reviews,total_reviews_category,total_reviews_category_T,language_code_T,language_code_ENgroup_T,num_pages_cat,max_pages_cat,num_pages_cat_T,max_pages_cat_T,average_rating_cat,average_rating_cat_T
6364,3796,1208,6128,162,9017,9020,4,2121,1702,1172,4222,2,1,11,6127,4112,748,595,463,246,1011,100,45,134,38,162,3,66,2,3,0,1,2,2,1,1,129,2,2,13,0,0,0,3,3,1,3
7614,5130,1209,5040,136,1123,1146,3,621,1537,1173,3489,8,0,0,5048,3396,713,4534,1432,66,72,46,25,100,40,136,5,54,7,1,1,1,2,2,1,1,680,2,2,22,0,1,1,1,1,1,3
7213,4687,1210,21,154,2339,2358,4,2848,1130,1174,16,22,0,0,76,17,563,1000,992,113,418,171,29,14,69,154,5,70,7,1,1,1,3,3,2,2,1262,3,3,13,0,0,0,3,3,1,3
5534,2891,1211,3723,88,4626,4647,4,1194,450,1175,2554,1,1,20,3744,2472,713,795,1277,100,427,22,27,89,31,88,6,61,0,1,1,1,1,1,4,0,14,1,1,13,0,1,1,1,1,1,3
4818,2177,1212,3747,94,6892,6907,4,3181,531,1898,2567,2,1,20,3768,2485,370,2540,622,100,962,54,27,100,29,94,11,71,11,0,3,1,1,1,4,0,30,1,1,13,0,4,4,0,0,1,3
5140,2488,1213,3473,121,578,602,4,3225,982,1177,2369,2,0,0,3499,2290,582,2517,1121,100,656,137,27,78,42,121,1,71,10,0,3,1,3,3,2,2,1937,3,3,13,0,0,0,3,3,1,3
3920,1214,1214,4052,116,8349,8357,4,3282,167,1178,2790,8,1,11,4070,2699,613,4498,942,130,921,101,24,94,36,116,4,72,3,3,0,1,2,2,1,1,673,2,2,13,0,0,0,3,3,1,3
4251,1576,1215,3563,79,7756,7767,4,170,473,1179,2429,9,0,0,3588,2352,197,270,212,91,806,39,25,83,30,79,9,39,5,2,2,1,2,2,1,1,112,2,2,13,0,1,1,1,1,1,3
428,1322,1216,4588,83,570,594,4,3117,851,1180,3155,26,1,11,4603,3064,241,4555,305,94,507,64,24,101,27,83,7,71,8,1,1,1,0,4,0,3,4780,0,4,13,0,2,2,2,2,1,3
7485,4976,1217,4048,151,7792,7802,4,757,473,1181,2790,8,0,0,4075,2699,559,1455,942,118,806,111,33,83,48,151,4,56,3,3,0,1,0,4,2,2,3896,0,4,13,0,0,0,3,3,1,3
2909,199,1218,1682,122,5757,5773,3,1482,1691,1182,1184,23,1,11,1728,1169,582,3449,523,176,620,142,28,83,41,122,7,63,8,1,1,1,2,2,1,1,443,2,2,22,0,0,0,3,3,1,3
7041,4497,1219,2836,28,835,859,4,2048,1515,1186,1710,16,1,11,2875,1837,596,2539,1144,100,915,100,27,11,38,28,10,66,1,2,2,1,5,0,4,0,3,5,0,13,0,0,0,3,3,2,2
7994,5528,1220,697,169,1816,1837,4,3320,1510,1183,466,23,1,11,748,457,140,4088,92,100,74,100,27,141,38,169,6,72,0,1,1,1,5,0,4,0,6,5,0,13,0,3,3,4,4,1,3
3735,1024,1221,4171,128,10049,10050,4,1279,460,1184,3697,19,0,0,4190,2791,141,3317,93,100,75,100,27,100,38,128,0,62,4,3,0,1,2,2,1,1,416,2,2,13,0,1,1,1,1,1,3
7988,5522,1222,3120,114,7858,7867,4,2614,954,1185,3158,23,0,0,3155,2043,197,1376,490,62,337,67,23,121,30,114,5,69,7,1,1,1,2,2,1,1,182,2,2,13,0,1,1,1,1,1,3
998,6383,1223,986,163,166,190,4,2370,151,1187,684,23,0,0,1036,671,942,4132,1371,117,758,224,35,88,50,163,0,68,4,3,0,1,3,3,2,2,2742,3,3,13,0,0,0,3,3,1,3
9517,7149,1224,1875,138,8008,8017,4,2973,596,1188,1292,13,1,20,1917,1269,394,3455,603,108,562,100,29,110,38,138,1,70,10,0,3,1,2,2,1,1,444,2,2,13,0,2,2,2,2,1,3
999,6386,1225,986,151,2979,2998,4,1292,151,1189,684,23,0,0,1036,671,950,3906,1371,119,758,227,32,88,47,151,4,62,3,3,0,1,3,3,2,2,2628,3,3,13,0,0,0,3,3,1,3
4370,1714,1226,89,134,9835,9836,6,946,712,1190,53,5,1,25,143,51,261,4194,482,80,521,68,28,86,43,134,11,58,11,0,3,3,3,3,2,2,2772,3,3,19,21,2,2,2,2,1,3
4368,1712,1227,80,130,3343,3362,6,92,1024,1191,53,5,0,0,148,51,274,1604,482,85,384,85,27,93,40,130,7,31,8,1,1,3,1,1,4,0,20,1,1,19,21,4,2,0,2,1,3
8378,5927,1228,5722,125,2684,2703,3,3098,806,1192,3973,26,0,0,5723,3867,625,2288,944,133,711,141,25,80,43,125,6,71,0,1,1,1,2,2,1,1,269,2,2,22,0,0,0,3,3,1,3
8693,6241,1229,5233,171,8770,8775,4,1748,350,1193,3645,11,1,11,5238,3549,371,4475,396,128,243,146,34,87,52,171,0,65,4,3,0,1,3,3,1,1,2902,3,3,13,0,2,2,2,2,1,3
9853,7523,1230,5133,100,4524,4545,4,3412,1114,1194,3560,22,0,0,5140,3468,408,688,654,107,669,93,23,74,38,100,0,74,4,3,0,1,2,2,1,1,134,2,2,13,0,2,2,2,2,1,3
6593,4023,1231,602,195,6080,6097,4,2069,86,1197,400,4,0,0,653,392,956,2993,759,27,379,35,27,133,46,195,11,66,11,0,3,1,3,3,1,1,2172,3,3,13,0,1,1,1,1,4,4
6140,3555,1232,5114,123,6978,6992,4,2012,913,1198,3545,25,1,11,5121,3451,79,4749,226,60,155,64,29,89,39,123,8,66,6,2,2,1,1,1,1,1,80,1,1,13,0,1,1,1,1,1,3
3269,560,1233,85,145,5937,5953,6,3039,1527,1199,53,23,1,25,140,51,386,777,482,120,644,91,31,105,41,145,0,71,4,3,0,3,2,2,1,1,139,2,2,19,21,2,2,2,2,1,3
8746,6292,1234,5388,110,3842,3862,4,3024,499,1200,3762,26,0,0,5391,3664,432,2827,822,100,786,87,30,83,38,110,3,70,2,3,0,1,4,5,0,3,5161,4,5,13,0,2,2,2,2,1,3
2904,194,1235,1743,117,8320,8328,4,3151,285,1214,1212,22,1,11,1786,1194,442,3136,857,99,248,174,24,88,38,117,9,71,5,2,2,1,2,2,1,1,383,2,2,13,0,2,2,2,2,1,3
7048,4504,1236,5260,83,8798,8803,4,3355,523,1201,3666,4,1,11,5265,3571,199,4749,182,96,205,86,20,91,29,83,10,72,1,2,2,1,1,1,4,0,80,1,1,13,0,1,1,1,1,1,3
7045,4501,1237,1359,97,7662,7674,4,966,1248,1202,2970,29,1,11,1406,944,229,4450,232,100,580,58,27,93,32,97,2,58,9,0,3,1,5,0,4,0,7,5,0,13,0,1,1,1,1,1,3
7976,5510,1238,113,147,5542,5558,4,1116,1208,1203,4284,28,1,20,168,63,604,4989,767,149,881,108,30,97,44,147,8,60,6,2,2,1,1,1,1,1,89,1,1,13,0,0,0,3,3,1,3
5363,2706,1239,5960,103,3323,3342,6,766,2051,1208,4129,23,1,11,5960,4017,331,5230,445,107,410,100,24,75,38,103,5,56,7,1,1,3,2,2,1,1,892,2,2,19,21,2,2,2,2,1,3
5364,2707,1240,5961,120,1575,1598,3,3147,1359,1206,4129,2,1,11,5961,4017,349,2853,445,113,795,69,29,87,39,120,9,71,5,2,2,1,3,3,2,2,2105,3,3,22,0,2,2,2,2,1,3
5367,2710,1241,5958,106,7698,7710,6,1875,785,1207,4129,19,1,11,5958,4017,219,496,445,71,668,50,25,90,35,106,11,65,11,0,3,3,2,2,1,1,124,2,2,19,21,1,1,1,1,1,3
5366,2709,1242,5959,103,7380,7394,4,2979,1208,1205,4129,23,1,20,5959,4017,171,1995,445,58,881,31,24,97,33,103,1,70,10,0,3,1,3,3,2,2,1693,3,3,13,0,1,1,1,1,1,3
7651,5169,1243,3675,135,2446,2465,3,1496,171,1209,2510,28,0,0,3699,2431,353,4578,573,100,719,76,27,85,44,135,8,63,6,2,2,1,3,3,2,2,2951,3,3,22,0,2,2,2,2,1,3
7649,5167,1244,1316,80,9221,9222,3,3262,740,1210,915,4,0,0,1364,909,247,556,281,100,229,100,27,52,38,80,0,72,4,3,0,1,0,4,0,3,3534,0,4,22,0,2,2,2,2,1,3
7650,5168,1245,4395,165,2599,2618,4,3024,1323,1211,3025,10,0,0,4414,2935,353,2343,573,100,454,100,27,137,38,165,3,70,2,3,0,1,3,3,2,2,1853,3,3,13,0,2,2,2,2,1,3
1483,9053,1246,3432,132,4063,4083,4,2183,747,1212,2345,23,0,0,3458,2264,592,3419,1138,100,690,135,27,90,42,132,6,67,0,1,1,1,0,4,0,3,4518,0,4,13,0,0,0,3,3,1,3
1369,8943,1247,3035,130,1249,1272,4,2155,1401,1213,2045,2,0,0,3074,1983,207,12,799,49,628,50,28,90,41,130,4,67,3,3,0,1,0,4,0,3,4902,4,5,13,0,1,1,1,1,1,3
241,9440,1248,481,114,4169,4190,4,496,1725,1215,296,9,1,25,532,290,394,2965,1102,68,766,81,29,91,37,114,9,51,5,2,2,1,3,3,2,2,2155,3,3,13,0,2,2,2,2,1,3
9335,6961,1249,5626,91,692,716,4,1012,837,1216,3917,9,0,0,5627,3810,545,517,1235,80,271,21,26,101,28,91,6,59,0,1,1,1,2,2,1,1,125,2,2,13,0,4,4,0,0,1,3
9789,7458,1250,4063,135,6556,6572,3,2132,324,1217,2797,9,0,0,4082,2706,545,1376,1068,100,159,26,27,107,38,135,3,66,2,3,0,1,2,2,1,1,182,2,2,22,0,4,4,0,0,1,3
3100,383,1251,2947,117,6805,6820,3,2859,1252,1218,1978,2,1,11,2983,1921,282,3354,394,97,270,105,27,74,42,117,6,70,0,1,1,1,0,4,2,2,4502,0,4,22,0,2,2,2,2,1,3
5505,2854,1252,248,117,3640,3660,3,3183,235,1219,164,25,1,11,301,165,389,824,609,107,595,96,24,85,39,117,11,71,11,0,3,1,3,3,1,1,1189,3,3,22,0,2,2,2,2,1,3
8577,6119,1253,5227,116,5624,5640,4,2496,2019,1220,3640,9,0,0,5234,3545,504,9,190,237,609,124,30,88,38,116,11,68,11,0,3,1,3,3,2,2,3279,0,4,13,0,0,0,3,3,1,3
3481,775,1254,2536,131,7369,7383,4,2496,519,1221,1676,23,0,0,2577,1623,371,3737,1339,43,880,65,28,99,39,131,11,68,11,0,3,1,3,3,2,2,2550,3,3,13,0,2,2,2,2,1,3
4516,1867,1255,44,118,3631,3651,4,2916,225,1222,28,20,0,0,107,29,375,2233,496,115,571,94,26,87,39,118,9,70,5,2,2,1,0,4,0,3,4166,0,4,13,0,2,2,2,2,1,3
10542,8270,1256,2536,119,7389,7403,4,3017,518,1223,1676,23,0,0,2577,1623,745,3649,1339,91,784,156,25,86,39,119,3,70,2,3,0,1,3,3,2,2,2503,3,3,13,0,0,0,3,3,1,3
6032,3440,1257,149,147,9801,9802,4,3125,277,1224,89,26,0,0,204,88,247,3496,281,100,255,94,27,119,38,147,8,71,6,2,2,1,2,2,1,1,453,2,2,13,0,2,2,2,2,1,3
9387,7014,1258,1017,102,9669,9669,3,2699,1904,1225,708,4,0,0,1065,693,261,3573,363,94,741,55,26,88,34,102,10,69,1,2,2,1,3,3,2,2,2464,3,3,22,0,2,2,2,2,1,3
6178,3600,1259,3200,90,4563,4584,4,3225,1006,1226,2171,8,0,0,3235,2100,371,3835,632,99,750,77,28,88,31,90,1,71,10,0,3,1,3,3,2,2,2604,3,3,13,0,2,2,2,2,1,3
8927,6487,1260,5713,140,551,575,4,1687,835,1227,3969,8,0,0,5720,3864,342,3320,584,96,854,63,28,98,42,140,11,64,11,0,3,1,0,4,2,2,4495,0,4,13,0,2,2,2,2,1,3
7393,4878,1261,6087,103,9483,9483,4,3446,132,1228,4200,23,0,0,6088,4088,303,439,580,86,896,51,26,91,34,103,4,75,3,3,0,1,3,3,1,1,1045,3,3,13,0,2,2,2,2,1,3
8506,6049,1262,4857,86,10112,10112,20,1595,1475,1229,3812,2,1,20,4866,3261,419,3011,867,92,624,100,20,58,38,86,4,64,3,3,0,17,2,2,1,1,367,2,2,14,14,2,2,2,2,1,3
2868,155,1263,5478,122,5366,5384,4,1700,1486,1230,3812,28,0,0,5507,3712,294,2490,1027,55,765,60,27,88,40,122,1,64,10,0,3,1,3,3,2,2,1921,3,3,13,0,2,2,2,2,1,3
3484,778,1264,5487,122,5171,5191,20,2060,1477,1230,3812,28,1,11,5490,3712,333,4451,1027,63,481,92,27,88,39,122,11,66,11,0,3,17,1,1,4,0,70,1,1,14,14,2,2,2,2,1,3
1575,9143,1265,5478,180,4595,4616,4,2238,2115,6122,3812,14,0,0,5507,3712,49,654,1027,239,1027,152,41,96,52,180,9,67,5,2,2,1,0,4,1,1,3579,0,4,13,0,3,3,4,4,4,4
4018,1321,1266,160,141,1893,1913,4,3197,616,1231,95,2,1,11,214,94,681,4455,675,182,1000,93,31,114,38,141,11,71,11,0,3,1,2,2,1,1,662,2,2,13,0,0,0,3,3,1,3
5460,2800,1267,5816,108,3536,3556,4,1595,225,1232,4050,27,1,11,5815,3938,425,4060,1321,52,571,107,25,87,36,108,4,64,3,3,0,1,2,2,1,1,570,2,2,13,0,2,2,2,2,1,3
3057,349,1268,1065,116,3959,3979,4,731,2069,1233,746,8,0,0,1117,728,912,1160,1203,153,687,232,26,87,38,116,1,55,10,0,3,1,0,4,2,2,3783,0,4,13,0,0,0,3,3,1,3
4553,1905,1269,4467,153,9049,9052,4,2403,1870,1234,3070,9,0,0,4489,2971,316,1146,480,98,365,101,30,120,39,153,5,68,7,1,1,1,0,4,2,2,3774,0,4,13,0,2,2,2,2,1,3
7991,5525,1270,723,148,596,620,20,3074,851,1235,482,1,1,11,772,473,146,3488,579,47,507,44,28,101,43,148,5,71,7,1,1,17,2,2,1,1,451,2,2,14,14,1,1,1,1,1,3
1306,8881,1271,2032,135,6902,6917,4,2289,946,1236,1388,23,0,0,2074,1358,549,420,1075,100,479,154,27,79,45,135,11,67,11,0,3,1,0,4,2,2,3473,0,4,13,0,0,0,3,3,1,3
9572,7214,1272,2010,122,8072,8081,4,2496,82,1237,1370,2,0,0,2052,1342,714,620,1278,100,673,169,27,85,40,122,11,68,11,0,3,1,3,3,2,2,1109,3,3,13,0,0,0,3,3,1,3
4505,1855,1273,3273,109,2188,2208,4,2983,164,1238,2224,2,0,0,3302,2149,447,4526,766,109,837,85,28,85,37,109,1,70,10,0,3,1,0,4,0,3,4775,0,4,13,0,2,2,2,2,1,3
9120,6703,1274,3051,133,300,324,4,2512,851,1239,2059,2,1,11,3087,1995,360,1311,595,100,507,96,27,101,39,133,1,68,10,0,3,1,0,4,2,2,3846,0,4,13,0,2,2,2,2,1,3
1670,9232,1275,2366,99,1214,1237,4,2666,1402,1241,1581,14,0,0,2407,1528,207,3814,530,62,253,81,27,89,33,99,8,69,6,2,2,1,2,2,1,1,515,2,2,13,0,1,1,1,1,1,3
6398,3832,1276,2366,99,2341,2360,4,600,424,1240,1581,14,0,0,2407,1528,217,3744,530,64,438,63,27,58,42,99,1,53,10,0,3,1,0,4,0,3,4594,0,4,13,0,1,1,1,1,1,3
7836,5367,1277,5148,121,3953,3973,4,522,1233,1242,3575,20,0,0,5155,3483,315,1852,464,100,449,90,27,72,43,121,4,52,3,3,0,1,2,2,1,1,223,2,2,13,0,2,2,2,2,1,3
7826,5356,1278,4156,137,2696,2715,4,3151,1125,1243,2866,8,0,0,4176,2783,554,5101,1096,98,884,98,31,93,42,137,9,71,5,2,2,1,3,3,2,2,3199,3,3,13,0,0,0,3,3,1,3
2596,10166,1279,4157,105,2701,2720,4,2914,1125,1244,2866,8,1,11,4175,2783,576,1002,1096,102,884,102,23,93,34,105,9,70,5,2,2,1,0,4,2,2,3715,0,4,13,0,0,0,3,3,1,3
2236,9779,1280,673,124,1346,1369,4,2403,658,1245,445,8,1,11,723,437,412,4826,678,107,535,107,25,92,39,124,5,68,7,1,1,1,3,3,2,2,3065,3,3,13,0,2,2,2,2,1,3
9828,7500,1281,4907,108,6561,6577,4,2465,322,1246,3390,23,1,11,4916,3298,108,465,1403,145,68,92,26,98,34,108,9,68,5,2,2,1,3,3,1,1,1056,3,3,13,0,1,1,1,1,1,3
10916,8672,1282,1186,142,4742,4763,4,416,418,1247,815,8,0,0,1235,808,506,3422,1191,78,723,111,28,104,40,142,11,49,11,0,3,1,2,2,1,1,435,2,2,13,0,0,0,3,3,1,3
6871,4325,1283,645,96,6333,6349,4,2991,292,1248,425,0,0,0,696,419,199,2,150,106,181,90,21,70,37,96,1,70,10,0,3,1,1,1,4,0,10,1,1,13,0,1,1,1,1,1,3
3634,910,1284,2608,124,4078,4098,4,2474,747,1249,1727,28,0,0,2660,1672,494,2181,776,119,690,112,29,90,40,124,10,68,1,2,2,1,2,2,1,1,257,2,2,13,0,0,0,3,3,1,3
4539,1892,1285,44,109,3632,3652,4,2916,225,1250,28,20,0,0,107,29,408,1810,496,125,571,102,24,87,36,109,9,70,5,2,2,1,0,4,2,2,4018,0,4,13,0,2,2,2,2,1,3
3473,766,1286,5337,148,248,272,4,3202,151,1251,3727,0,0,0,5340,3634,433,2084,828,99,758,90,27,88,46,148,1,71,10,0,3,1,2,2,1,1,245,2,2,13,0,2,2,2,2,1,3
3475,769,1287,5337,158,247,271,4,2970,151,1252,3727,20,0,0,5340,3634,443,3803,828,102,758,92,29,88,49,158,11,70,11,0,3,1,2,2,1,1,513,2,2,13,0,2,2,2,2,1,3
3477,771,1288,5337,151,558,582,3,1721,151,1253,3727,20,0,0,5340,3634,371,4634,828,85,758,77,28,88,47,151,2,64,9,0,3,1,2,2,1,1,708,2,2,22,0,2,2,2,2,1,3
7621,5138,1289,5337,148,543,567,4,2322,151,1254,3727,20,0,0,5340,3634,425,4446,828,98,758,88,27,88,46,148,2,67,9,0,3,1,2,2,1,1,660,2,2,13,0,2,2,2,2,1,3
7622,5139,1290,5337,151,542,566,4,2528,151,1255,3727,20,0,0,5340,3634,442,4107,828,102,758,92,28,88,47,151,1,68,10,0,3,1,2,2,1,1,579,2,2,13,0,2,2,2,2,1,3
9368,6996,1291,6175,111,7443,7457,4,484,2145,1256,4235,22,0,0,6175,4124,473,1165,923,100,596,117,27,64,43,111,7,51,8,1,1,1,2,2,1,1,165,2,2,13,0,0,0,3,3,1,3
2619,10187,1292,3404,162,4582,4603,4,1112,2116,8955,2334,15,0,0,3434,2251,595,5088,361,220,1014,77,39,122,41,162,7,60,8,1,1,1,2,2,1,1,842,2,2,13,0,0,0,3,3,1,3
5625,3007,1293,3988,117,2211,2231,4,648,1086,1259,2735,9,0,0,4008,2649,113,2627,77,97,108,83,28,94,37,117,11,54,11,0,3,1,2,2,1,1,313,2,2,13,0,1,1,1,1,1,3
1313,8888,1294,3116,124,803,827,4,1052,2019,1260,2107,23,0,0,3152,2039,589,4075,1018,114,609,146,39,88,40,124,1,59,10,0,3,1,3,3,2,2,2711,3,3,13,0,0,0,3,3,1,3
1067,6852,1295,964,64,4122,4142,3,1904,171,1262,665,9,0,0,1014,654,379,5208,647,100,719,82,27,85,25,64,1,65,10,0,3,1,2,2,1,1,884,2,2,22,0,2,2,2,2,2,2
2469,10034,1296,5201,81,9108,9111,4,2914,556,1263,3619,22,1,11,5208,3524,211,447,185,100,152,100,27,53,38,81,9,70,5,2,2,1,2,2,1,1,121,2,2,13,0,1,1,1,1,1,3
1263,8456,1297,239,122,1991,2011,3,1868,1458,1264,4027,2,0,0,293,158,399,3816,712,100,666,91,27,88,39,122,11,65,11,0,3,1,3,3,2,2,2594,3,3,22,0,2,2,2,2,1,3
3114,397,1298,4794,154,5567,5583,4,637,2024,1265,3311,9,0,0,4806,3216,268,1907,688,68,523,70,27,93,46,154,8,54,6,2,2,1,0,4,2,2,4059,0,4,13,0,2,2,2,2,1,3
8605,6151,1299,1761,112,468,492,4,1072,828,1266,1229,23,1,11,1803,1207,425,4465,797,100,631,101,27,87,37,112,0,60,4,3,0,1,2,2,1,1,664,2,2,13,0,2,2,2,2,1,3
6412,3848,1300,3248,97,323,347,4,2664,861,1267,2204,23,0,0,3276,2132,261,2863,171,127,401,79,27,100,30,97,8,69,6,2,2,1,0,4,0,3,4363,0,4,13,0,2,2,2,2,1,3
2177,9717,1301,1416,143,7650,7662,13,2881,276,1268,994,8,1,28,1462,987,817,4507,1209,129,215,36,28,109,39,143,7,70,8,1,1,10,1,1,1,1,72,1,1,3,19,1,1,1,1,1,3
3821,1112,1302,5886,135,3742,3762,4,2425,1335,1269,4091,8,1,11,5885,3982,460,4506,371,17,60,30,28,107,38,135,7,68,8,1,1,1,3,3,2,2,2917,3,3,13,0,4,4,0,0,1,3
8765,6311,1303,1107,129,8870,8874,4,1595,1613,1270,766,9,0,0,1155,749,474,4394,612,130,578,119,37,77,44,129,4,64,3,3,0,1,3,3,2,2,2866,3,3,13,0,0,0,3,3,1,3
565,2448,1304,1083,113,7656,7668,4,1314,1296,1271,753,2,0,0,1131,737,296,4431,417,100,470,82,27,104,33,113,6,62,0,1,1,1,2,2,1,1,656,2,2,13,0,2,2,2,2,1,3
5700,3099,1305,870,130,2531,2550,4,2895,171,1272,590,20,0,0,921,576,279,3758,370,100,719,60,33,85,42,130,7,70,8,1,1,1,3,3,2,2,2561,3,3,13,0,2,2,2,2,1,3
1841,9392,1306,4507,119,3660,3680,4,3262,226,1273,3100,20,1,11,4523,2999,412,3149,1025,78,781,83,27,92,38,119,0,72,4,3,0,1,0,4,2,2,4446,0,4,13,0,2,2,2,2,1,3
3656,937,1307,4026,139,8125,8134,4,3219,1555,1274,2763,10,0,0,4047,2679,108,4900,548,43,627,35,22,98,41,139,1,71,10,0,3,1,2,2,2,2,786,2,2,13,0,1,1,1,1,1,3
8115,5662,1308,317,105,4160,4181,4,1237,171,1275,215,28,0,0,371,216,333,2906,615,91,719,72,31,85,36,105,10,61,1,2,2,1,3,3,2,2,2132,3,3,13,0,2,2,2,2,1,3
3535,821,1309,5535,118,8743,8748,3,2305,1098,1276,3834,27,1,11,5538,3736,322,1558,479,100,885,56,27,103,35,118,1,67,10,0,3,1,2,2,1,1,197,2,2,22,0,2,2,2,2,1,3
3483,777,1310,2536,150,4149,4170,4,639,646,1277,1676,23,0,0,2577,1623,44,177,1339,148,824,242,33,86,47,150,9,54,5,2,2,1,1,1,1,1,108,2,2,13,0,3,3,4,4,1,3
6517,3949,1311,3558,170,6053,6069,4,3218,97,1278,3977,23,0,0,3583,2349,108,2,64,100,51,100,27,69,58,170,1,71,10,0,3,1,5,0,4,0,10,1,1,13,0,1,1,1,1,1,3
9398,7025,1312,3032,148,6286,6303,4,2599,1740,1279,2042,20,0,0,3068,1981,442,1064,958,91,843,83,28,96,44,148,4,69,3,3,0,1,0,4,2,2,3742,0,4,13,0,2,2,2,2,1,3
7855,5387,1313,3468,111,4550,4571,3,2719,226,1280,2368,14,0,0,3497,2288,597,3403,960,125,781,124,24,92,36,111,10,69,1,2,2,1,0,4,2,2,4513,0,4,22,0,0,0,3,3,1,3
7566,5074,1314,3794,40,7526,7539,4,2896,1991,1281,2597,23,0,0,3815,2516,425,4748,797,100,642,100,27,19,38,40,8,70,6,2,2,1,5,0,4,0,8,5,0,13,0,2,2,2,2,2,2
9825,7497,1315,2331,17,8215,8224,4,3079,480,1282,1552,4,1,11,2371,1502,146,3750,51,117,133,83,15,78,12,17,5,71,7,1,1,1,1,1,1,1,52,1,1,13,0,1,1,1,1,2,2
1353,8923,1316,4376,138,10206,10207,20,3142,2148,1283,3020,23,1,11,4394,2930,833,3741,1169,140,1050,100,32,110,38,138,8,71,6,2,2,17,2,2,1,1,498,2,2,14,14,0,0,3,3,1,3
5760,3166,1317,4975,136,6940,6955,3,1193,137,1284,3437,22,1,11,4985,3351,459,954,1414,4,726,100,30,108,38,136,6,61,0,1,1,1,1,1,4,0,15,1,1,22,0,4,4,0,0,1,3
7502,4998,1318,5108,98,6261,6278,4,2370,950,1285,3543,8,0,0,5116,3449,283,1426,359,102,405,86,24,75,37,98,0,68,4,3,0,1,3,3,1,1,1437,3,3,13,0,2,2,2,2,1,3
34,9226,1319,1291,86,5321,5339,4,3171,2011,1285,898,8,0,0,1341,890,296,197,442,96,597,73,29,99,28,86,10,71,1,2,2,1,2,2,2,2,967,3,3,13,0,2,2,2,2,1,3
5496,2843,1320,3829,62,8702,8708,4,1513,2094,1286,2627,25,1,11,3850,2544,134,2373,85,100,335,54,27,56,32,62,10,63,1,2,2,1,1,1,4,0,28,1,1,13,0,1,1,1,1,2,2
5528,2883,1321,302,103,2541,2560,3,3258,486,1287,208,2,1,11,354,208,371,1454,353,135,526,97,20,102,31,103,3,71,2,3,0,1,3,3,1,1,1453,3,3,22,0,2,2,2,2,1,3
3815,1107,1322,5884,109,3904,3924,4,2934,18,1288,4091,8,0,0,5887,3982,277,3072,371,99,496,75,22,79,39,109,10,70,1,2,2,1,3,3,2,2,2215,3,3,13,0,2,2,2,2,1,3
66,110,1323,1784,117,3927,3947,4,545,20,1290,1248,0,0,0,1828,1226,498,3144,893,109,559,128,29,85,39,117,9,52,5,2,2,1,0,4,2,2,4444,0,4,13,0,0,0,3,3,1,3
7911,5441,1324,5225,120,3990,4010,3,1122,779,1291,3639,20,0,0,5232,3544,563,4204,754,140,599,141,32,91,38,120,9,60,5,2,2,1,3,3,2,2,2777,3,3,22,0,0,0,3,3,1,3
608,2842,1325,2676,108,5303,5321,4,2208,2006,1292,1772,2,0,0,2716,1711,261,4219,934,54,935,41,30,94,35,108,7,67,8,1,1,1,2,2,1,1,604,2,2,13,0,2,2,2,2,1,3
2481,10051,1326,6098,126,9645,9645,4,3446,1052,1293,1544,23,0,0,6098,4095,185,4088,154,100,123,100,27,98,38,126,4,75,3,3,0,1,5,0,4,0,6,5,0,13,0,1,1,1,1,1,3
1540,9108,1327,2673,136,6551,6567,4,1892,1649,91,1769,23,1,11,2713,1708,630,4249,1184,100,942,100,27,108,38,136,1,65,10,0,3,1,1,1,1,1,64,1,1,13,0,1,1,1,1,1,3
604,2831,1328,828,156,4576,4597,3,956,743,2564,564,23,0,0,891,552,892,2804,1213,145,1030,117,36,128,38,156,1,58,10,0,3,1,1,1,4,0,34,1,1,22,0,0,0,3,3,1,3
9536,7170,1329,5181,86,4705,4726,4,2581,319,1294,3600,25,0,0,5188,3505,257,795,301,100,538,66,27,91,30,86,0,69,4,3,0,1,1,1,4,0,14,1,1,13,0,2,2,2,2,1,3
1794,9347,1330,4939,112,1314,1337,3,2897,1536,1295,3417,8,0,0,4957,3326,460,795,129,26,122,24,23,91,36,112,8,70,6,2,2,1,1,1,4,0,14,1,1,22,0,4,4,0,0,1,3
1792,9345,1331,4947,139,1311,1334,4,2897,1537,1295,3417,8,1,11,4956,3326,199,3944,129,113,72,125,29,100,41,139,8,70,6,2,2,1,4,5,0,3,5201,4,5,13,0,1,1,1,1,1,3
1793,9346,1332,4911,159,1007,1030,4,275,1537,5544,3394,10,1,11,4921,3302,916,2380,1414,99,72,63,31,100,46,159,11,44,11,0,3,1,3,3,1,1,1871,3,3,13,0,1,1,1,1,1,3
2250,9795,1333,5102,159,5706,5722,4,657,1556,1296,3536,22,1,11,5108,3443,370,2539,657,96,498,100,34,131,38,159,1,54,10,0,3,1,5,0,4,0,3,5,0,13,0,4,4,0,0,1,3
7623,5141,1334,1947,127,7025,7039,4,2637,765,1297,1341,23,0,0,1990,1314,631,4364,810,150,381,205,27,86,41,127,6,69,0,1,1,1,3,3,2,2,2853,3,3,13,0,0,0,3,3,1,3
